City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,aykhal,66.0,111.5,267.3,96,100,3.03,RU,1698005202
1,paragominas,-2.9667,-47.4833,306.58,43,100,2.07,BR,1698004914
2,edinburgh of the seven seas,-37.0676,-12.3116,285.96,85,31,5.62,SH,1698005202
3,lihue,21.9789,-159.3672,300.92,71,75,3.6,US,1698005202
4,vilhena,-12.7406,-60.1458,310.25,19,70,1.26,BR,1698005203
5,winnemucca,40.973,-117.7357,296.18,28,0,4.63,US,1698005203
6,stanley,54.868,-1.6985,278.03,95,0,0.0,GB,1698005203
7,baruun-urt,46.6806,113.2792,276.87,39,53,2.79,MN,1698005203
8,sola,-13.8833,167.55,298.39,88,100,14.62,VU,1698005203
9,betare oya,5.6,14.0833,294.34,92,100,1.75,CM,1698005203
10,hawaiian paradise park,19.5933,-154.9731,301.88,68,20,1.79,US,1698005044
11,manokwari,-0.8667,134.0833,298.75,81,83,2.06,ID,1698005204
12,puerto ayora,-0.7393,-90.3518,302.13,79,63,5.18,EC,1698005204
13,ishinomaki,38.4167,141.3,287.32,70,95,5.27,JP,1698005204
14,port-aux-francais,-49.35,70.2167,275.75,65,62,13.41,TF,1698005204
15,sal rei,16.1833,-22.9167,301.26,69,75,6.17,CV,1698005123
16,albany,42.6001,-73.9662,282.53,72,100,0.45,US,1698005204
17,constantia,44.1833,28.65,291.53,53,1,2.35,RO,1698005204
18,ertil',51.8406,40.8056,278.13,72,78,4.81,RU,1698005205
19,remire-montjoly,4.9167,-52.2667,304.17,70,75,3.6,GF,1698005205
20,tiksi,71.6872,128.8694,255.44,100,99,1.69,RU,1698005205
21,luderitz,-26.6481,15.1594,289.98,83,82,1.48,NA,1698005205
22,bredasdorp,-34.5322,20.0403,287.34,78,93,3.6,ZA,1698005205
23,stolin,51.8912,26.846,288.48,82,68,7.03,BY,1698005205
24,blackmans bay,-43.0167,147.3167,285.22,84,98,0.89,AU,1698005205
25,belmonte,-15.8631,-38.8828,298.34,76,19,4.93,BR,1698005206
26,saipan,15.1355,145.701,301.54,78,40,7.72,MP,1698005206
27,dudinka,69.4058,86.1778,271.63,96,100,5.87,RU,1698005206
28,margaret river,-33.95,115.0667,286.16,61,100,6.2,AU,1698005206
29,hovd,48.0056,91.6419,278.98,57,43,3.58,MN,1698005206
30,selfoss,63.9331,-20.9971,274.84,83,100,1.63,IS,1698005206
31,grytviken,-54.2811,-36.5092,274.97,76,19,4.95,GS,1698005206
32,oranjemund,-28.55,16.4333,291.41,80,35,4.4,NA,1698005207
33,salavan,15.7167,106.4167,294.27,94,56,1.18,LA,1698005207
34,wau,7.7029,27.9953,298.42,73,21,1.85,SS,1698005207
35,kodiak,57.79,-152.4072,277.88,52,0,4.12,US,1698005106
36,st. john's,47.5649,-52.7093,288.13,90,100,12.86,CA,1698005191
37,prado,-17.3411,-39.2208,297.42,73,73,4.65,BR,1698005192
38,ilulissat,69.2167,-51.1,268.16,58,8,1.54,GL,1698005207
39,porto novo,6.4965,2.6036,299.03,88,100,2.61,BJ,1698005207
40,iskateley,67.6803,53.1512,273.0,82,100,7.76,RU,1698005208
41,primorskiy,43.0983,131.5875,279.4,59,12,1.58,RU,1698005208
42,alice springs,-23.7,133.8833,287.9,36,25,3.6,AU,1698005208
43,qaqortoq,60.7167,-46.0333,273.93,75,100,1.18,GL,1698005208
44,tazovsky,67.4667,78.7,269.63,82,62,6.59,RU,1698004982
45,ban nong wua so,17.2675,103.2247,297.01,79,88,1.38,TH,1698005208
46,fortuna,40.5982,-124.1573,291.34,96,75,0.0,US,1698005208
47,bilibino,68.0546,166.4372,262.15,100,77,1.54,RU,1698005209
48,tiquipaya,-17.3382,-66.2189,298.69,22,52,6.71,BO,1698005209
49,papatowai,-46.5619,169.4708,281.25,71,7,1.9,NZ,1698005209
50,santa marta,11.2408,-74.199,304.2,73,100,0.45,CO,1698005209
51,pangai,-19.8,-174.35,297.49,85,59,3.77,TO,1698005209
52,ranau,5.9538,116.6641,294.07,96,53,0.31,MY,1698005209
53,conduaga,8.862,117.4893,299.42,83,96,1.22,PH,1698005209
54,saint-philippe,-21.3585,55.7679,293.92,77,36,3.08,RE,1698005209
55,fortaleza,-3.7227,-38.5247,302.08,72,40,6.17,BR,1698005210
56,naze,28.3667,129.4833,293.43,71,100,4.07,JP,1698005210
57,invercargill,-46.4,168.35,281.49,87,53,1.79,NZ,1698005210
58,cova figueira,14.8905,-24.2934,297.07,79,31,4.68,CV,1698005210
59,santiago de cao,-7.9589,-79.2392,294.93,80,52,6.37,PE,1698005210
60,longyearbyen,78.2186,15.6401,263.06,79,0,3.6,SJ,1698005210
61,puerto natales,-51.7236,-72.4875,287.4,41,40,4.63,CL,1698005210
62,punta arenas,-53.15,-70.9167,287.21,38,20,7.72,CL,1698005211
63,salaqi,40.5414,110.5108,281.74,35,5,0.77,CN,1698005211
64,patnanungan,14.7833,122.1833,300.41,83,100,7.32,PH,1698005211
65,larache,35.1932,-6.1557,292.93,73,71,5.1,MA,1698005211
66,ribeira grande,38.5167,-28.7,291.37,72,20,3.6,PT,1698005211
67,anadyr,64.75,177.4833,276.43,100,100,8.0,RU,1698005211
68,guerrero negro,27.9769,-114.0611,296.68,64,0,8.66,MX,1698005212
69,astrakhan,46.3497,48.0408,275.08,75,0,2.0,RU,1698005212
70,vadso,70.0744,29.7487,273.64,69,75,4.63,NO,1698005212
71,thompson,55.7435,-97.8558,274.24,86,75,5.66,CA,1698004961
72,masterton,-40.9597,175.6575,284.2,81,3,0.56,NZ,1698005212
73,adamstown,-25.066,-130.1015,296.11,76,19,4.83,PN,1698005212
74,hammerfest,70.6634,23.6821,271.4,74,20,0.0,NO,1698005212
75,arraial do cabo,-22.9661,-42.0278,296.07,68,75,6.69,BR,1698005213
76,bethel,41.3712,-73.414,286.23,60,70,4.47,US,1698004976
77,wladyslawowo,54.7909,18.4009,284.9,93,100,5.35,PL,1698005213
78,keuruu,62.2667,24.7,273.25,99,100,1.39,FI,1698005213
79,holyhead,53.3062,-4.6321,283.3,87,20,3.6,GB,1698005213
80,port lincoln,-34.7333,135.8667,285.55,77,7,6.56,AU,1698005213
81,fereydun kenar,36.6864,52.5225,293.87,74,27,1.43,IR,1698005213
82,cabo san lucas,22.8909,-109.9124,302.93,81,95,2.68,MX,1698004927
83,mezhdurechenskiy,59.6,65.9333,271.46,77,73,5.0,RU,1698005214
84,nantucket,41.2835,-70.0995,289.23,64,100,7.2,US,1698005145
85,wailua homesteads,22.0669,-159.378,300.59,72,75,3.6,US,1698005214
86,oxapampa,-10.5775,-75.4017,292.44,85,94,0.9,PE,1698005214
87,geraldton,-28.7667,114.6,286.38,76,56,3.09,AU,1698005214
88,kodinar,20.7903,70.7031,300.71,57,96,1.64,IN,1698005214
89,olonkinbyen,70.9221,-8.7187,276.06,86,99,4.84,SJ,1698005214
90,port elizabeth,-33.918,25.5701,288.88,73,0,4.92,ZA,1698005215
91,nikolayevsk-on-amure,53.1406,140.73,271.57,65,59,4.01,RU,1698005215
92,happy valley-goose bay,53.3168,-60.3315,276.26,72,99,7.71,CA,1698005215
93,ushuaia,-54.8,-68.3,281.32,75,51,1.23,AR,1698005215
94,rongelap,11.1635,166.8941,300.99,77,100,6.4,MH,1698005215
95,minas de marcona,-15.2119,-75.1103,292.41,71,40,5.92,PE,1698005215
96,moranbah,-22.0016,148.0466,292.65,62,5,3.64,AU,1698005215
97,isla vista,34.4133,-119.861,300.06,64,0,3.6,US,1698005216
98,hermanus,-34.4187,19.2345,288.66,80,58,4.6,ZA,1698005216
99,lawton,34.6087,-98.3903,303.1,33,40,5.66,US,1698005216
100,choyr,46.3611,108.3611,276.35,46,0,3.3,MN,1698005216
101,bandar lampung,-5.4254,105.258,296.08,92,100,1.4,ID,1698005216
102,hede,33.7681,120.2517,286.36,86,0,2.01,CN,1698005216
103,waitangi,-43.9535,-176.5597,281.94,73,87,4.47,NZ,1698005216
104,keflavik,64.0049,-22.5624,277.39,93,75,2.06,IS,1698005217
105,petropavlovsk-kamchatsky,53.0452,158.6483,270.48,93,75,1.0,RU,1698005217
106,west island,-12.1568,96.8225,298.14,78,40,4.63,CC,1698005217
107,toliara,-23.35,43.6667,296.03,73,36,2.42,MG,1698005217
108,whitehorse,60.7161,-135.0538,265.38,51,35,4.92,CA,1698005217
109,shingu,33.7333,135.9833,285.57,71,71,2.19,JP,1698005217
110,tralee,52.2704,-9.7026,283.21,92,99,5.1,IE,1698005217
111,novomikhaylovskiy,44.2581,38.8578,290.94,60,85,1.47,RU,1698005218
112,zhigalovo,54.8097,105.1578,271.55,79,30,1.37,RU,1698005218
113,hsinchu,24.8036,120.9686,298.63,82,65,0.89,TW,1698005218
114,manavalakurichi,8.1333,77.3,299.01,83,98,2.18,IN,1698005218
115,the bottom,17.6259,-63.2492,299.22,77,100,4.51,BQ,1698005218
116,pontes e lacerda,-15.2261,-59.3353,314.11,16,92,3.41,BR,1698004931
117,nenjiang,49.1833,125.2167,275.88,60,7,2.9,CN,1698005218
118,hadibu,12.65,54.0333,300.06,84,100,5.99,YE,1698005219
119,tanga,-5.0667,39.1,297.83,84,0,1.44,TZ,1698005219
120,yuzhno-kurilsk,44.0306,145.8556,282.05,74,90,2.87,RU,1698005219
121,afaahiti,-17.75,-149.2833,302.08,84,77,6.77,PF,1698005219
122,gashua,12.871,11.0482,303.73,14,32,4.52,NG,1698005219
123,cacoal,-11.4386,-61.4472,314.56,16,97,2.54,BR,1698005219
124,mangrol,21.1167,70.1167,300.89,51,59,3.65,IN,1698005219
125,tyukalinsk,55.8732,72.1967,271.69,76,96,8.35,RU,1698005220
126,kodinsk,58.6881,99.1844,272.0,89,100,1.74,RU,1698005220
127,bonthe,7.5264,-12.505,299.38,86,18,2.76,SL,1698005220
128,fale old settlement,-9.3852,-171.2468,301.25,71,36,1.44,TK,1698005220
129,nogliki,51.8333,143.1667,272.71,66,0,5.88,RU,1698005220
130,banda aceh,5.5577,95.3222,299.27,78,100,1.17,ID,1698005220
131,altamira,-3.2033,-52.2064,306.13,48,100,1.61,BR,1698005220
132,puerto baquerizo moreno,-0.9,-89.6,300.7,69,75,2.57,EC,1698005221
133,benguela,-12.5763,13.4055,298.01,78,77,3.45,AO,1698005221
134,hobyo,5.3505,48.5268,300.79,78,36,6.61,SO,1698005178
135,east london,-33.0153,27.9116,288.58,68,34,3.98,ZA,1698005200
136,chibougamau,49.9168,-74.3659,277.94,81,100,3.09,CA,1698005174
137,kununurra,-15.7667,128.7333,298.14,88,1,2.06,AU,1698005221
138,oyon,-10.6681,-76.7731,285.91,69,100,1.23,PE,1698005221
139,zyryanskoye,56.8306,86.6258,277.05,89,100,5.33,RU,1698005221
140,colonia,50.9333,6.95,286.25,90,75,2.57,DE,1698005222
141,ouadda,8.0777,22.4007,296.17,67,0,1.09,CF,1698005222
142,codrington,-38.2667,141.9667,280.85,86,86,3.24,AU,1698005222
143,pontchateau,47.4333,-2.0833,286.4,88,0,2.57,FR,1698005222
144,fada,9.5667,8.3,295.57,67,70,0.59,NG,1698005222
145,namibe,-15.1961,12.1522,293.59,86,97,1.08,AO,1698005222
146,santa maria,-29.6842,-53.8069,293.76,94,75,2.57,BR,1698005011
147,kailua-kona,19.6406,-155.9956,299.54,89,14,1.79,US,1698004929
148,yellowknife,62.456,-114.3525,270.05,76,100,10.28,CA,1698005223
149,urupes,-21.2017,-49.29,309.46,22,0,1.89,BR,1698005223
150,taoudenni,22.6783,-3.9836,307.99,14,78,1.84,ML,1698005223
151,sisimiut,66.9395,-53.6735,267.79,78,19,5.68,GL,1698005223
152,port mathurin,-19.6833,63.4167,297.55,81,15,5.15,MU,1698005223
153,gondar,12.6,37.4667,287.98,77,100,1.84,ET,1698005223
154,sabha,27.0377,14.4283,302.31,15,4,3.25,LY,1698005224
155,fisterra,42.9049,-9.2629,287.6,91,100,2.83,ES,1698005224
156,la ronge,55.1001,-105.2842,274.25,38,34,4.45,CA,1698005224
157,mata-utu,-13.2816,-176.1745,300.8,80,100,4.89,WF,1698005224
158,cairo montenotte,44.4031,8.2746,289.34,88,75,0.62,IT,1698005224
159,enewetak,11.3474,162.3373,301.49,70,100,3.03,MH,1698005224
160,phalodi,27.1333,72.3667,301.61,37,28,3.59,IN,1698005224
161,la passe,45.5549,-0.8967,285.92,74,99,5.17,FR,1698005225
162,hasaki,35.7333,140.8333,281.37,60,100,3.47,JP,1698005213
163,villa mercedes,-33.6757,-65.4578,292.84,75,100,5.9,AR,1698005225
164,northam,51.0333,-4.2167,284.07,92,38,4.19,GB,1698005225
165,wanning,18.8003,110.3967,298.14,92,100,5.08,CN,1698005225
166,georgetown,5.4112,100.3354,298.72,97,20,1.54,MY,1698004978
167,altar,30.7,-111.8167,307.14,22,0,2.91,MX,1698005225
168,urzhar,47.093,81.6294,285.52,76,100,2.25,KZ,1698005226
169,tsimlyansk,47.6461,42.1019,283.09,55,5,5.39,RU,1698005226
170,klyuchi,52.2667,79.1667,282.2,77,100,10.68,RU,1698005226
171,atherton,53.5237,-2.4935,283.27,88,72,1.57,GB,1698005226
172,araguaina,-7.1911,-48.2072,309.42,31,98,2.22,BR,1698005226
173,phillip island,-38.4835,145.231,285.08,93,100,11.56,AU,1698005226
174,bubaque,11.2833,-15.8333,301.57,78,66,3.59,GW,1698005226
175,grand falls-windsor,48.9332,-55.6649,279.54,94,100,3.13,CA,1698005227
176,iqaluit,63.7506,-68.5145,270.0,63,75,5.66,CA,1698004933
177,ust-nera,64.5667,143.2,263.13,96,100,1.15,RU,1698005227
178,chatham,51.3789,0.5279,285.07,69,2,0.45,GB,1698005227
179,hoemul-li,41.4339,129.67,283.68,62,0,2.73,KP,1698005227
180,vryburg,-26.9566,24.7284,291.01,28,35,0.82,ZA,1698005227
181,sao felix do xingu,-6.6447,-51.995,305.57,41,100,2.03,BR,1698005157
182,inhambane,-23.865,35.3833,297.61,74,90,4.13,MZ,1698005228
183,tazacorte,28.629,-17.9293,295.69,73,20,2.24,ES,1698005228
184,ridgecrest,35.6225,-117.6709,301.49,25,0,5.81,US,1698005228
185,ain sukhna,29.6002,32.3167,296.27,80,0,2.05,EG,1698005228
186,kingston,17.997,-76.7936,304.68,71,40,5.14,JM,1698005077
187,muang xay,20.7,101.9833,292.17,85,81,0.77,LA,1698005228
188,kudahuvadhoo,2.6708,72.8944,300.1,74,96,0.82,MV,1698005229
189,touros,-5.1989,-35.4608,299.39,72,100,6.89,BR,1698005215
190,waingapu,-9.6567,120.2641,298.11,77,7,1.99,ID,1698005229
191,balykshi,47.0667,51.8667,273.15,86,0,2.0,KZ,1698005229
192,boca suno,-0.7167,-77.1333,306.92,36,92,1.68,EC,1698005229
193,shimoda,34.6667,138.95,285.43,64,100,3.01,JP,1698005229
194,okhotsk,59.3833,143.3,271.45,84,86,6.24,RU,1698005230
195,arrifes,37.7667,-25.7,290.33,68,20,4.12,PT,1698005230
196,tangalle,6.024,80.7911,297.86,89,100,1.67,LK,1698005230
197,udachny,66.4167,112.4,267.46,95,100,5.32,RU,1698005230
198,nova sintra,14.8667,-24.7167,296.73,76,29,5.94,CV,1698005230
199,laguna de perlas,12.3429,-83.6712,300.34,88,100,4.85,NI,1698005230
200,san antonio de pale,-1.4014,5.6325,299.13,83,71,6.89,GQ,1698005230
201,cape canaveral,28.4058,-80.6048,303.26,39,20,0.0,US,1698005231
202,san patricio,28.017,-97.5169,305.12,44,95,6.64,US,1698005231
203,neiafu,-18.65,-173.9833,300.53,69,20,1.03,TO,1698005231
204,ghadamis,30.1337,9.5007,300.74,22,0,0.82,LY,1698005231
205,saint-joseph,-21.3667,55.6167,293.41,78,17,3.14,RE,1698005231
206,alofi,-19.0595,-169.9187,300.09,74,40,3.6,NU,1698005231
207,vieste,41.8825,16.175,294.0,71,75,3.42,IT,1698005231
208,bouca,6.5105,18.2733,297.35,83,83,1.54,CF,1698005232
209,floro,61.5996,5.0328,281.13,71,0,2.57,NO,1698005232
210,kristiansund,63.1115,7.732,280.51,65,75,1.54,NO,1698005232
211,laurentides,46.4334,-74.9826,279.1,93,100,4.34,CA,1698005232
212,new norfolk,-42.7826,147.0587,285.88,96,99,1.49,AU,1698005232
213,guadalupe victoria,32.2869,-115.105,308.68,15,0,1.35,MX,1698005232
214,kichmengskiy gorodok,59.9816,45.7854,270.16,97,29,2.58,RU,1698005232
215,sorong,-0.8833,131.25,298.67,89,93,2.84,ID,1698005232
216,hamilton,39.1834,-84.5333,289.22,55,0,2.57,US,1698005079
217,badger,64.8,-147.5333,268.14,84,100,2.06,US,1698005233
218,zaragoza,41.6561,-0.8773,289.83,61,100,5.66,ES,1698005071
219,horta,38.5333,-28.6333,290.95,77,20,3.6,PT,1698005233
220,galliano,29.4422,-90.2992,304.26,51,0,1.54,US,1698005233
221,usogorsk,63.4106,48.6872,271.96,91,100,3.74,RU,1698005233
222,busan,35.1028,129.0403,287.45,59,10,2.53,KR,1698005233
223,atafu village,-8.5421,-172.5159,301.36,72,100,2.87,TK,1698005233
224,muroto-misakicho,33.2833,134.15,291.1,62,84,2.3,JP,1698005234
225,douz,33.4663,9.0203,297.56,43,0,3.91,TN,1698005048
226,hithadhoo,-0.6,73.0833,300.02,76,67,5.45,MV,1698005234
227,chonchi,-42.6128,-73.8092,288.71,43,1,1.63,CL,1698005234
228,ouarzazat,30.9189,-6.8934,290.77,48,3,3.51,MA,1698005234
229,mccomb,31.2438,-90.4531,303.72,32,0,2.57,US,1698005234
230,brokopondo,4.75,-55.1667,303.13,63,70,2.41,SR,1698005235
231,kapsan-up,41.0903,128.2933,274.99,88,0,0.18,KP,1698005235
232,sherbakul',54.6316,72.3963,272.5,80,100,9.76,RU,1698005235
233,bovril,-31.3431,-59.4451,295.32,94,100,5.99,AR,1698005235
234,susuman,62.7833,148.1667,255.96,99,75,0.56,RU,1698005235
235,cold lake,54.4502,-110.2017,273.76,49,100,3.9,CA,1698005235
236,al kharijah,25.4514,30.5464,297.04,37,0,3.97,EG,1698005236
237,mount isa,-20.7333,139.5,289.02,39,0,0.0,AU,1698005236
238,azna,33.6095,48.9307,287.04,26,100,0.35,IR,1698005236
239,bathsheba,13.2167,-59.5167,303.49,74,20,4.12,BB,1698005236
240,bazar-korgon,41.0376,72.7459,286.22,45,100,0.84,KG,1698005209
241,malango,-2.9627,119.9001,291.15,95,41,1.28,ID,1698005236
242,jamestown,42.097,-79.2353,282.92,64,75,8.75,US,1698005223
243,nadi,-17.8,177.4167,300.15,74,75,4.12,FJ,1698005236
244,wieprz,49.8909,19.3569,285.46,100,10,3.16,PL,1698005237
245,gurghiu,46.7667,24.85,287.29,68,17,0.37,RO,1698005237
246,nova vicosa,-17.8919,-39.3719,297.54,71,93,4.68,BR,1698005101
247,dergachi,51.2328,48.7659,277.33,53,100,2.21,RU,1698005237
248,ahvaz,31.3203,48.6693,301.12,28,0,3.09,IR,1698005237
249,talnakh,69.4865,88.3972,270.98,95,100,5.93,RU,1698005237
250,tsiombe,-25.3,45.4833,295.71,73,0,1.78,MG,1698005237
251,vorgashor,67.5833,63.95,268.26,95,100,3.62,RU,1698005238
252,avarua,-21.2078,-159.775,299.18,83,26,3.09,CK,1698005238
253,yongchuan,29.3514,105.8947,292.28,69,100,1.49,CN,1698005238
254,verkhnevilyuysk,63.4453,120.3167,270.16,97,100,2.29,RU,1698005238
255,serenje,-13.2325,30.2352,292.54,79,100,1.25,ZM,1698005238
256,prince george,53.9166,-122.753,272.84,100,100,1.54,CA,1698004977
257,arafat,21.3594,39.9664,302.46,56,0,1.33,SA,1698005238
258,bereket,39.2446,55.5154,292.51,74,100,2.25,TM,1698005239
259,udaipur,24.5712,73.6918,296.24,38,3,1.4,IN,1698005239
260,konstantinovka,49.6167,127.9833,274.55,62,0,2.62,RU,1698005239
261,pathein,16.7833,94.7333,296.8,94,71,1.86,MM,1698005239
262,haiku-pauwela,20.9219,-156.3051,300.51,77,40,2.57,US,1698005239
263,pyapon,16.2833,95.6833,297.64,91,100,1.78,MM,1698005239
264,roma,43.2128,-75.4557,279.55,88,100,8.23,US,1698005240
265,lebu,-37.6167,-73.65,285.58,72,1,7.42,CL,1698005240
266,assab,13.0092,42.7394,301.9,74,10,8.57,ER,1698005240
267,college,64.8569,-147.8028,268.19,83,75,2.06,US,1698005228
268,soba,10.9813,8.0575,298.03,28,22,2.95,NG,1698005240
269,san pedro pochutla,15.7333,-96.4667,304.99,47,52,3.09,MX,1698005241
270,port moresby,-9.4431,147.1797,296.5,86,92,2.39,PG,1698005241
271,vila franca do campo,37.7167,-25.4333,291.42,99,84,4.44,PT,1698005241
272,dampit,-8.2116,112.7493,294.27,88,54,0.73,ID,1698005241
273,tolanaro,-25.0319,46.9987,296.55,93,22,0.5,MG,1698005241
274,egilsstadir,65.2653,-14.3948,276.04,99,100,3.81,IS,1698005241
275,port alfred,-33.5906,26.891,289.11,68,74,7.29,ZA,1698004958
276,ketchikan,55.3422,-131.6461,280.41,61,0,7.72,US,1698005242
277,magong,23.5654,119.5863,298.48,79,100,9.51,TW,1698005242
278,berezovyy,51.6667,135.7,272.07,60,1,3.06,RU,1698005242
279,kourou,5.1552,-52.6478,304.18,75,97,5.59,GF,1698005242
280,weligama,5.9667,80.4167,298.03,88,100,0.97,LK,1698005242
281,tevriz,57.509,72.4042,272.28,67,100,4.75,RU,1698005242
282,warren,39.4334,-84.1666,289.01,55,0,4.63,US,1698005243
283,puerto san jose,13.9256,-90.8244,301.98,73,100,3.08,GT,1698005243
284,balikpapan,-1.2675,116.8289,297.7,94,75,1.03,ID,1698005243
285,uturoa,-16.7333,-151.4333,299.81,80,6,6.07,PF,1698005243
286,enniscorthy,52.5008,-6.5578,286.19,100,100,2.21,IE,1698005243
287,miranda do corvo,40.0932,-8.3326,288.51,70,100,0.7,PT,1698005119
288,flying fish cove,-10.4217,105.6791,295.97,94,40,1.54,CX,1698005244
289,sibut,5.718,19.0739,296.46,93,99,0.53,CF,1698005244
290,namsos,64.4662,11.4957,278.18,70,100,7.72,NO,1698005244
291,port isabel,26.0734,-97.2086,305.41,64,100,4.92,US,1698005244
292,ust'-ilimsk,58.0006,102.6619,272.22,81,100,2.62,RU,1698005244
293,sandnessjoen,66.0217,12.6316,279.21,45,0,3.6,NO,1698005244
294,sungailiat,-1.85,106.1333,299.74,79,97,0.76,ID,1698005245
295,valdivia,-39.8142,-73.2459,292.91,38,0,1.32,CL,1698005245
296,corinto,37.9407,22.9573,295.42,65,48,0.37,GR,1698005245
297,karratha,-20.7377,116.8463,300.94,39,63,5.56,AU,1698005245
